question_clear,content_clear
"я сменил автомобить, на учет еще не поставил, могу ли я заправляться по топливной карте?","для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение."
не отображается автомобиль в личном кабинете.,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение."
добавить автомобиль,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение."
хочу внести данные об автомобиле,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение."
как внести данные об автомобиле?,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение."
мне нужно внести данные об автомобиле,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение."
внести машину,"для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение."
"при смене автомобиля, который используется в служебных целях, как изменить марку и госномер авто в личном кабинете?","для внесения данных по личному автомобилю обратитесь, пожалуйста, к своему руководителю для создания заявки по теме ""изменение режима характера работы"", подтема ""установка рхр и топливной карты"". в комментариях опишите ситуацию и приложите птс, стс, страховой полис и водительское удостоверение."
"будет ли оплачен больничный, если он отрудовой договоррыт в другой стране?",сотруднику следует обратиться в мед. организацию (по месту прописки) с данными документами для выдачи больничного листа российского образца. оплата больничного листа возможна только на основании листа нетрудоспособности российского образца.
как оформить больничный по беременности и родам,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете link или приложении ""моя работа"" в разделе ""декрет"", ""администрирование отпуска бир""."
что делать после получения больничного по беременности и родам,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете link или приложении ""моя работа"" в разделе ""декрет"", ""администрирование отпуска бир""."
как оформить беременность и роды?,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете link или приложении ""моя работа"" в разделе ""декрет"", ""администрирование отпуска бир""."
как оформить больничный по беременности и родам?,"сотруднику следует обратиться к непосредственному руководителю, чтобы он создал заявку в личном кабинете link или приложении ""моя работа"" в разделе ""декрет"", ""администрирование отпуска бир""."
как оформить моей сотруднице декадровый резерветный отпуск?,"обратитесь к hrbp для создания заявки ""администрирование бир"""
"сотрудница уходит в декадровый резервет, как мне провести ей декадровый резерветный отпуск","обратитесь к hrbp для создания заявки ""администрирование бир"""
